year,county,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Isanti,Juvenile,70,71,63,NA,NA,NA,NA,NA,NA,NA,NA
2014,Itasca,Felony,194,167,510,NA,NA,NA,NA,NA,NA,NA,NA
2014,Itasca,Gross Misdemeanor,168,182,279,NA,NA,NA,NA,NA,NA,NA,NA
2014,Itasca,Misdemeanor,78,68,86,NA,NA,NA,NA,NA,NA,NA,NA
2014,Itasca,Juvenile,133,161,147,NA,NA,NA,NA,NA,NA,NA,NA
2014,Jackson,Felony,15,19,60,NA,NA,NA,NA,NA,NA,NA,NA
2014,Jackson,Gross Misdemeanor,35,50,77,NA,NA,NA,NA,NA,NA,NA,NA
2014,Jackson,Misdemeanor,71,73,133,NA,NA,NA,NA,NA,NA,NA,NA
2014,Jackson,Juvenile,26,16,33,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kanabec,Felony,65,52,205,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kanabec,Gross Misdemeanor,67,71,156,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kanabec,Misdemeanor,130,144,187,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kanabec,Juvenile,35,50,22,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kandiyohi,Felony,158,154,533,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kandiyohi,Gross Misdemeanor,110,123,304,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kandiyohi,Misdemeanor,199,206,273,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kandiyohi,Juvenile,64,60,73,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kittson,Felony,9,10,31,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kittson,Gross Misdemeanor,5,10,7,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kittson,Misdemeanor,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kittson,Juvenile,6,8,4,NA,NA,NA,NA,NA,NA,NA,NA
2014,Koochiching,Felony,37,30,168,NA,NA,NA,NA,NA,NA,NA,NA
2014,Koochiching,Gross Misdemeanor,39,28,118,NA,NA,NA,NA,NA,NA,NA,NA
2014,Koochiching,Misdemeanor,7,8,26,NA,NA,NA,NA,NA,NA,NA,NA
2014,Koochiching,Juvenile,24,24,35,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lac qui Parle,Felony,19,16,25,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lac qui Parle,Gross Misdemeanor,14,15,18,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lac qui Parle,Misdemeanor,20,23,14,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lac qui Parle,Juvenile,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake,Felony,17,22,63,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake,Gross Misdemeanor,22,38,58,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake,Misdemeanor,16,20,22,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake,Juvenile,13,17,9,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake Of The Woods,Felony,17,14,39,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake Of The Woods,Gross Misdemeanor,13,11,18,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake Of The Woods,Misdemeanor,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lake Of The Woods,Juvenile,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA
2014,Le Sueur,Felony,55,73,186,NA,NA,NA,NA,NA,NA,NA,NA
2014,Le Sueur,Gross Misdemeanor,51,58,85,NA,NA,NA,NA,NA,NA,NA,NA
2014,Le Sueur,Misdemeanor,84,76,83,NA,NA,NA,NA,NA,NA,NA,NA
2014,Le Sueur,Juvenile,31,36,38,NA,NA,NA,NA,NA,NA,NA,NA
2014,Lincoln,Felony,1,3,11,NA,NA,NA,NA,NA,NA,NA,NA
